

----------------------------------------------------------------------------------------------------------------

            Corona Virus Statistical Analysis Death Data 
            Coded : J. M. Nichols 31/3/2020
            Version : 1.1.1.1
            Date of Analysis d/m/year  :: 20/ 4/2020
            Time of Analysis           :: 13:37: 1
            UTC Difference  (hours)    ::  5   BEHIND GMT

----------------------------------------------------------------------------------------------------------------

         Notes:

         1.     File source :: https://www.ecdc.europa.eu/en/geographical-distribution-2019-ncov-cases 
         2.     Source organization :: European Centre for Disease Prevention and Control 
         3.     Country Code is assigned by the program based on numerical order in original file. 
         4.     Statistical Codes are used for the Regression Analysis and the FFT Analysis.
         5.     Record date is based on European Base Time for European Union.
         6.     Line data format is a code based on the actual number formats.
         7.     infection Count for each day.


---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                             
 | Country |    Statistical   |  Line    |       Record Date        |    Line     |  Infection  |   Death  | GEOD |                   Country                 |   Name  |
 | Code    |  Code 1  Code 2  |  Number  |  Day     Month    Year   | Data Format |   Count     |   Count  |  ID  |                    Name                   |  Length |
 |    1    |    47      48    |       48 |   31      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    48      49    |       49 |   30      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    49      50    |       50 |   29      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    50      51    |       51 |   28      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    51      52    |       52 |   27      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    52      53    |       53 |   26      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    53      54    |       54 |   25      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    54      55    |       55 |   24      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    55      56    |       56 |   23      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    56      57    |       57 |   22      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    57      58    |       58 |   21      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    58      59    |       59 |   20      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    59      60    |       60 |   19      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    60      61    |       61 |   18      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    61      62    |       62 |   17      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    62      63    |       63 |   16      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    63      64    |       64 |   15      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    64      65    |       65 |   14      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    65      66    |       66 |   13      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    66      67    |       67 |   12      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    67      68    |       68 |   11      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    68      69    |       69 |   10      1       2020   |       37    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    69      70    |       70 |    9      1       2020   |       36    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    70      71    |       71 |    8      1       2020   |       36    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    71      72    |       72 |    7      1       2020   |       36    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    72      73    |       73 |    6      1       2020   |       36    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    73      74    |       74 |    5      1       2020   |       36    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    74      75    |       75 |    4      1       2020   |       36    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    75      76    |       76 |    3      1       2020   |       36    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    76      77    |       77 |    2      1       2020   |       36    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    77      78    |       78 |    1      1       2020   |       36    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    1    |    78      79    |       79 |   31     12       2019   |       38    |        0    |      0   |  AF  |            Afghanistan                    |   11    |
 |    2    |     0       1    |       80 |   28      3       2020   |       32    |        1    |      0   |  AO  |               Angola                      |    6    |
 |    2    |     1       2    |       81 |   27      3       2020   |       32    |        1    |      0   |  AO  |               Angola                      |    6    |
 |    2    |     2       3    |       82 |   26      3       2020   |       32    |        0    |      0   |  AO  |               Angola                      |    6    |
 |    2    |     3       4    |       83 |   25      3       2020   |       32    |        0    |      0   |  AO  |               Angola                      |    6    |
 |    2    |     4       5    |       84 |   24      3       2020   |       32    |        0    |      0   |  AO  |               Angola                      |    6    |
 |    2    |     5       6    |       85 |   23      3       2020   |       32    |        0    |      0   |  AO  |               Angola                      |    6    |
 |    2    |     6       7    |       86 |   22      3       2020   |       32    |        2    |      0   |  AO  |               Angola                      |    6    |
 |    3    |     0       1    |       87 |   28      3       2020   |       34    |       12    |      3   |  AL  |              Albania                      |    7    |
 |    3    |     1       2    |       88 |   27      3       2020   |       34    |       28    |      1   |  AL  |              Albania                      |    7    |
 |    3    |     2       3    |       89 |   26      3       2020   |       34    |       23    |      0   |  AL  |              Albania                      |    7    |
 |    3    |     3       4    |       90 |   25      3       2020   |       34    |       23    |      1   |  AL  |              Albania                      |    7    |
 |    3    |     4       5    |       91 |   24      3       2020   |       34    |       11    |      2   |  AL  |              Albania                      |    7    |
 |    3    |     5       6    |       92 |   23      3       2020   |       34    |       13    |      0   |  AL  |              Albania                      |    7    |
 |    3    |     6       7    |       93 |   22      3       2020   |       33    |        6    |      0   |  AL  |              Albania                      |    7    |
 |    3    |     7       8    |       94 |   21      3       2020   |       33    |        0    |      0   |  AL  |              Albania                      |    7    |
 |    3    |     8       9    |       95 |   20      3       2020   |       34    |       11    |      0   |  AL  |              Albania                      |    7    |
 |    3    |     9      10    |       96 |   19      3       2020   |       33    |        4    |      1   |  AL  |              Albania                      |    7    |
 |    3    |    10      11    |       97 |   18      3       2020   |       33    |        4    |      0   |  AL  |              Albania                      |    7    |
 |    3    |    11      12    |       98 |   17      3       2020   |       33    |        9    |      0   |  AL  |              Albania                      |    7    |
 |    3    |    12      13    |       99 |   16      3       2020   |       33    |        4    |      0   |  AL  |              Albania                      |    7    |
 |    3    |    13      14    |      100 |   15      3       2020   |       33    |        5    |      0   |  AL  |              Albania                      |    7    |
 |    3    |    14      15    |      101 |   14      3       2020   |       34    |       10    |      0   |  AL  |              Albania                      |    7    |
